# Time,Accel
6.4250,-2.0756360e-02
6.4300,-4.2445060e-02
6.4350,-6.1514940e-02
6.4400,-7.5820150e-02
6.4450,-8.4580560e-02
6.4500,-8.7938670e-02
6.4550,-8.7575270e-02
6.4600,-8.4972000e-02
6.4650,-8.0132370e-02
6.4700,-7.2970960e-02
6.4750,-6.4227030e-02
6.4800,-5.5600940e-02
6.4850,-4.8739130e-02
6.4900,-4.3195260e-02
6.4950,-3.6787830e-02
6.5000,-2.7768070e-02
6.5050,-1.6161510e-02
6.5100,-3.6614060e-03
6.5150,7.4378680e-03
6.5200,1.5769930e-02
6.5250,2.2139710e-02
6.5300,2.8239870e-02
6.5350,3.4670480e-02
6.5400,4.0860760e-02
6.5450,4.5906050e-02
6.5500,4.9235450e-02
6.5550,5.0725650e-02
6.5600,5.0603240e-02
6.5650,4.9131290e-02
6.5700,4.6154620e-02
6.5750,4.1232220e-02
6.5800,3.4122110e-02
6.5850,2.5074990e-02
6.5900,1.5443260e-02
6.5950,7.7739410e-03
6.6000,3.8585950e-03
6.6050,3.5432930e-03
6.6100,6.4118990e-03
6.6150,1.2551620e-02
6.6200,2.1409030e-02
6.6250,3.2010140e-02
6.6300,4.2539460e-02
6.6350,4.9656200e-02
6.6400,5.1634900e-02
6.6450,4.9657730e-02
6.6500,4.5191940e-02
6.6550,3.8682000e-02
6.6600,2.9971940e-02
6.6650,1.9887750e-02
6.6700,1.0470760e-02
6.6750,2.9302160e-03
6.6800,-3.2133110e-03
6.6850,-9.3655140e-03
6.6900,-1.7190880e-02
6.6950,-2.7971210e-02
6.7000,-4.1513740e-02
6.7050,-5.6270680e-02
6.7100,-7.0165530e-02
6.7150,-8.0097790e-02
6.7200,-8.2960900e-02
6.7250,-7.7807030e-02
6.7300,-6.5404350e-02
6.7350,-4.6807460e-02
6.7400,-2.2859920e-02
6.7450,4.3510850e-03
6.7500,2.9580610e-02
6.7550,4.7185740e-02
6.7600,5.6290790e-02
6.7650,5.9797690e-02
6.7700,5.9748090e-02
6.7750,5.7399090e-02
6.7800,5.4743610e-02
6.7850,5.3497260e-02
6.7900,5.4216570e-02
6.7950,5.6432750e-02
6.8000,5.9069580e-02
6.8050,6.1236010e-02
6.8100,6.2941500e-02
6.8150,6.4504100e-02
6.8200,6.5624570e-02
6.8250,6.5800490e-02
6.8300,6.4811030e-02
6.8350,6.2599770e-02
6.8400,5.8960640e-02
6.8450,5.3396180e-02
6.8500,4.5739970e-02
6.8550,3.6062030e-02
6.8600,2.4254730e-02
6.8650,1.0826460e-02
6.8700,-2.5296080e-03
6.8750,-1.4199320e-02
6.8800,-2.4296300e-02
6.8850,-3.3802450e-02
6.8900,-4.2624100e-02
6.8950,-4.9525340e-02
6.9000,-5.3000680e-02
6.9050,-5.1656110e-02
6.9100,-4.4268570e-02
6.9150,-3.0294070e-02
6.9200,-1.0935390e-02
6.9250,1.0602450e-02
6.9300,3.0254300e-02
6.9350,4.4302080e-02
6.9400,5.0549330e-02
6.9450,4.9377500e-02
6.9500,4.3360030e-02
6.9550,3.5795700e-02
6.9600,2.9126930e-02
6.9650,2.5236590e-02
6.9700,2.5740400e-02
6.9750,3.0739460e-02
6.9800,3.8570260e-02
6.9850,4.6152510e-02
6.9900,5.0229760e-02
6.9950,4.9554360e-02
7.0000,4.5576880e-02
7.0050,4.0724440e-02
7.0100,3.6418590e-02
7.0150,3.2773000e-02
7.0200,2.9178250e-02
7.0250,2.3706120e-02
7.0300,1.3686940e-02
7.0350,-1.6674350e-03
7.0400,-2.1362460e-02
7.0450,-4.4214600e-02
7.0500,-6.7800200e-02
7.0550,-8.8210260e-02
7.0600,-1.0354720e-01
7.0650,-1.1414890e-01
7.0700,-1.2002080e-01
7.0750,-1.2160840e-01
7.0800,-1.2009340e-01
7.0850,-1.1639300e-01
7.0900,-1.1075480e-01
7.0950,-1.0204460e-01
7.1000,-8.8631110e-02
7.1050,-7.0689100e-02
7.1100,-5.0478520e-02
7.1150,-3.0224410e-02
7.1200,-1.1174870e-02
7.1250,5.2617440e-03
7.1300,1.7522510e-02
7.1350,2.5517650e-02
7.1400,3.1192370e-02
7.1450,3.6467780e-02
7.1500,4.1293710e-02
7.1550,4.4502090e-02
7.1600,4.4881720e-02
7.1650,4.1558350e-02
7.1700,3.4918460e-02
7.1750,2.6744160e-02
7.1800,1.9233320e-02
7.1850,1.3784070e-02
7.1900,1.0787010e-02
7.1950,9.9072440e-03
7.2000,1.0233430e-02
7.2050,1.0933040e-02
7.2100,1.1511250e-02
7.2150,1.1800650e-02
7.2200,1.1757630e-02
7.2250,1.1230300e-02
7.2300,1.0154080e-02
7.2350,8.3763130e-03
7.2400,5.9667970e-03
7.2450,3.4230500e-03
7.2500,1.0049690e-03
7.2550,-1.1428930e-03
7.2600,-2.7214410e-03
7.2650,-2.9862110e-03
7.2700,-7.2572190e-04
7.2750,4.7261620e-03
7.2800,1.3357950e-02
7.2850,2.3856270e-02
7.2900,3.3422220e-02
7.2950,3.9980430e-02
7.3000,4.3331550e-02
7.3050,4.4104670e-02
7.3100,4.2608960e-02
7.3150,3.9187980e-02
7.3200,3.4625560e-02
7.3250,2.9714520e-02
7.3300,2.5022370e-02
7.3350,2.0929490e-02
7.3400,1.7452090e-02
7.3450,1.4212710e-02
7.3500,1.1220450e-02
7.3550,9.3332890e-03
7.3600,8.9491500e-03
7.3650,9.2253530e-03
